Time resolution is 1 ps
==============================================================
Test begin!
        [1772000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1782000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1792000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1802000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1812000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1822000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1832000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1842000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1852000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1862000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1872000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1882000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1892000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1902000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1912000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1922000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1932000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1942000 ns] Test is running, debug_wb_pc = 0x1bfffffc
        [1952000 ns] Test is r
